StdInChIKey,SMILES,LogS,T,Source
BRVGOAJFDSDGKU-UHFFFAOYSA-N,c1ccc(cc1)COc1ccc(cc1)c1cc(COC(=O)N)on1,-2.334903897,20,Reaxys
BSBOERCAIOUPOJ-UHFFFAOYSA-N,Cc1ccc(cc1)OC(=O)NC(=O)N,-1.84106883,18,Reaxys
BXRFQSNOROATLV-UHFFFAOYSA-N,c1cc(ccc1C=O)[N+](=O)[O-],-0.42481882,26,Reaxys
BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(s1)S(=O)(=O)N,-1.752447265,25,Reaxys
CAKGAFQQGMIOJG-UHFFFAOYSA-N,CC(C)C1CCC(C)C(C1)OC(=O)NC(=O)N,-2.026450829,17,Reaxys
CCORPVHYPHHRKB-NXUCFJMCSA-N,CCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,-2.044075036,20,Reaxys
CDZFBBLHHNZLCF-CSOYKPOESA-N,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=NNC(=O)N)[C@@]4(C)CC[C@H]23)C1,-2.287266367,20,Reaxys
CFBBKHROQRFCNZ-UHFFFAOYSA-N,c1ccc(cc1)C(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1,-2.500740305,19,Reaxys
CFKGXXNWAGBBFU-UHFFFAOYSA-N,CCOC(=O)c1c(C)oc2cc3c(cc12)oc(C)c3C(=O)OCC,-3.823909179,20,Reaxys
CFWGPCJQHBUSSK-UHFFFAOYSA-N,COc1cc(ccc1O)c1cc(c2ccc(cc2)F)[nH]c(=O)c1C#N,-1.884503851,24.99,Reaxys
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,-1.190535841,24.99,Reaxys
CJGPZIZFKYDOBC-SFTDATJTSA-N,CCCCCCCC[C@H]([C@@H](CCCCCCCCCCCC(=O)O)[N+](=O)[O-])O,-0.338961823,18,Reaxys
CJTCFFRJBBMUBJ-UHFFFAOYSA-N,CCCOC(=O)NC(=O)N,-1.28972567,17,Reaxys
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-3.627094614,25,Reaxys
CKDZWMVGDHGMFR-GTPODGLVSA-N,CCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,-2.057621417,20,Reaxys
CKEVMZSLVHLLBF-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCc1ccccc1,-1.124014873,16,Reaxys
CMWTZPSULFXXJA-VIFPVBQESA-N,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-0.270813985,25,Reaxys
CNQITZURXNIVBU-UHFFFAOYSA-N,CCCCS(=O)(=O)NNC(=O)C(c1ccccc1)(c1ccccc1)O,-0.298151846,21,Reaxys
COLNVLDHVKWLRT-UHFFFAOYSA-N,c1ccc(cc1)CC(C(=O)O)N,-2.579499754,25,Reaxys
CPYIRRUXUIUUPR-UHFFFAOYSA-N,c1cc2c(cc1COC(=O)NC(=O)N)OCO2,-2.557397822,16.5,Reaxys
CRPHWKXKBBBHLU-AIECOIEWSA-N,C(C1C(C2C(O1)OC(C(Cl)(Cl)Cl)O2)O)O,-0.456474038,20,Reaxys
CUCUKLJLRRAKFN-KKIBXBACSA-N,Cc1c(c(C(=O)C)c2c(c1O)[C@@]1(C)C(=CC(=O)C(C(=O)C)C1=O)O2)O,-3.042182953,24.99,Reaxys
CVHZOJJKTDOEJC-UHFFFAOYSA-N,c1ccc2c(c1)C(=O)NS2(=O)=O,-1.064624923,22.5,Reaxys
CVPXQMUHAZMTEO-UHFFFAOYSA-N,CC1=C(CCC1(C)C)C(=O)O,0.134109574,15,Reaxys
CWRYPZZKDGJXCA-UHFFFAOYSA-N,c1cc2cccc3CCc(c1)c23,-1.971432302,25,Reaxys
CXMXRPHRNRROMY-UHFFFAOYSA-N,C(CCCCC(=O)O)CCCC(=O)O,-0.482479538,24.99,Reaxys
CYRRHDGXDUVPMO-ZASXJUAOSA-N,C=C[C@@H]1[C@@H]2CCNC(=O)C2=CO[C@H]1O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,-1.403012021,20,Reaxys
CZGCEKJOLUNIFY-UHFFFAOYSA-N,c1cc(ccc1Cl)[N+](=O)[O-],-0.360673591,17,Reaxys
DBJHCHBDQALOAS-XWIAVFTESA-N,c1cc2c(c3CN[C@H]4c5cc6c(cc5C[C@H]([C@H]4c13)O)OCO6)OCO2,-1.823075118,21.5,Reaxys
DBPYGJOORSXBMI-UHFFFAOYSA-N,c1ccc2c(c1)cccc2OP(=O)(Oc1cccc2ccccc12)Oc1cccc2ccccc12,-2.678033738,25,Reaxys
DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,-0.123006146,25.05,Reaxys
DDGUCOCCCYXUCX-MZCGDCDISA-N,C(=C\c1ccco1)/C=N/NC(=O)N,-1.483907359,22,Reaxys
DDPOPNULNSDSKL-UHFFFAOYSA-N,CCC(=O)NNC(=O)CC,0.15053329,20,Reaxys
DEPKBIFUJLGOBH-UHFFFAOYSA-N,c1ccc(cc1)c1cccc(c1)N=Cc1ccc(cc1)[N+](=O)[O-],-1.917214297,22,Reaxys
DFPAKSUCGFBDDF-UHFFFAOYSA-N,c1cc(cnc1)C(=O)N,-0.096910013,24.99,Reaxys
DFQHFXCKNSCDFW-UHFFFAOYSA-N,c1cc(ccc1Cl)OP(=O)(Oc1ccc(cc1)Cl)Oc1ccc(cc1)Cl,-1.854937284,25,Reaxys
DHNCWGKMISNJQG-UHFFFAOYSA-N,CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],-1.547635776,20,Reaxys
DIKMWTRJIZQJMY-CYFREDJKSA-N,C=CC(C)(C)c1c(C[C@H]2C(=O)N[C@@H](C)C(=O)N2)c2cc(CC=C(C)C)cc(CC=C(C)C)c2[nH]1,-2.710068449,23,Reaxys
DIWPMFYAXKQRRI-JXAWBTAJSA-N,CCOC(=O)C(C)SC1=N/C(=C\c2ccccc2)/C(=O)N1c1ccccc1,-1.756386539,20,Reaxys
DKMZFFROTLTIPQ-UHFFFAOYSA-N,c1ccc(cc1)N(c1ccccc1)C(=O)N1CCCCC1,-0.814263086,20,Reaxys
DKYWVDODHFEZIM-UHFFFAOYSA-N,CC(c1cccc(c1)C(=O)c1ccccc1)C(=O)O,0.557583436,25,Reaxys
DNDPLEAVNVOOQZ-UHFFFAOYSA-N,c1(c(c(Cl)nc(c1Cl)Cl)Cl)Cl,-1.857437968,24,Reaxys
DPJCXCZTLWNFOH-UHFFFAOYSA-N,c1ccc(c(c1)N)[N+](=O)[O-],0.202103636,25,Reaxys
DPZFRJOHZAISME-UHFFFAOYSA-N,CC1CCC(CC1)C(C)(C)OC(=O)NC(=O)N,-2.129113171,17,Reaxys
DPZSNGJNFHWQDC-ARJAWSKDSA-N,C(#N)/C(=C(\C#N)/N)/N,-0.477535246,25,Reaxys
DQQLZADYSWBCOX-UHFFFAOYSA-N,C(C1C(=O)NC(=O)N1)C(=O)O,-1.850860257,25,Reaxys
DRAKXEGHHALOHS-UHFFFAOYSA-N,CCCCCCCCCCOC(=O)NC(=O)N,-2.542885865,20.7,Reaxys
DRGIJTNVBHIOFB-UHFFFAOYSA-N,c1ccc(cc1)c1cccc(c1[N+](=O)[O-])O,-0.156767152,25,Reaxys
DSSYKIVIOFKYAU-XCBNKYQSSA-N,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.972403313,25,Reaxys
DTVXJINHUJSUDF-KTKRTIGZSA-N,CCN(CC)CCOC(=O)c1ccc(cc1)NC(=O)/C=C\C(=O)O,-3.31785744,15,Reaxys
DTWMUZVZPXOTII-UHFFFAOYSA-N,Cc1cc(C)c(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.301321832,20,Reaxys
DWTSYTGLYWRMAZ-LXGJOWSGSA-N,C=C(C)C1C/C(=N/Nc2ccccc2)/C(=C(C1)/N=N/c1ccccc1)C,-1.510299339,18,Reaxys
DYIOSHGVFJTOAR-JGWLITMVSA-N,C([C@H]([C@H]([C@@H]([C@H](CS)O)O)O)O)O,-1.066742368,20,Reaxys
DZQISOJKASMITI-UHFFFAOYSA-N,CCCCCCCCCCP(=O)(O)O,-0.522888515,20,Reaxys
FATBKZJZAHWCSL-UHFFFAOYSA-N,c1c(c(Cl)nc(c1Cl)Cl)Cl,-0.433878987,24.8,Reaxys
FBFHQXIENYXRKB-UHFFFAOYSA-N,c1ccc(cc1)/N=N/c1ccc(cc1)Oc1nc(Cl)nc(Cl)n1,-2.31657923,25,Reaxys
FBMORZZOJSDNRQ-GLQYFDAESA-N,C=C1CCC[C@]2(C)C[C@]3(C(=C(C)C(=O)O3)C[C@@H]12)O,-0.858778798,25.04,Reaxys
FBPFZTCFMRRESA-KVTDHHQDSA-N,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-2.886123037,25,Reaxys
FDBNCQRSJCGNHW-UHFFFAOYSA-N,c1ccc(cc1)COC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)O,-1.753001822,20,Reaxys
FDDJKDJSDPCMJE-UHFFFAOYSA-N,Cc1cc(ccc1OCC(=O)Nc1ccccc1)Cl,-1.399099211,25,Reaxys
FEWJPZIEWOKRBE-JCYAYHJZSA-N,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,0.161805214,25,Reaxys
FFDGPVCHZBVARC-UHFFFAOYSA-N,CN(C)CC(=O)O,0.090993157,25,Reaxys
FFGPTBGBLSHEPO-UHFFFAOYSA-N,c1ccc2c(c1)C=Cc1ccccc1N2C(=O)N,-1.101572489,25,Reaxys
FGHCYIPZQUMLRQ-UHFFFAOYSA-N,C1=C(C(=O)C(=CC1=O)Br)Br,-1.248609112,20,Reaxys
FHHCKYIBYRNHOZ-UHFFFAOYSA-N,c1ccc(cc1)c1c[nH]c(c2ccccc2)n1,-0.241601153,25,Reaxys
FIQMHBFVRAXMOP-UHFFFAOYSA-N,c1ccc(cc1)P(=O)(c1ccccc1)c1ccccc1,0.265996328,26,Reaxys
FMXDVBRYDYFVGS-UHFFFAOYSA-N,COc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.11385346,15,Reaxys
FOGXJPFPZOHSQS-AYVLZSQQSA-N,CCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](C[C@]12C)O)C(=O)COC(=O)CC,0.072203685,25,Reaxys
FPBODWXATDKICU-FLFWOSPYSA-N,CCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,-2.208446731,20,Reaxys
FPWNLURCHDRMHC-UHFFFAOYSA-N,c1ccc(cc1)c1ccc(cc1)Cl,-0.250254149,25,Reaxys
FVWJYYTZTCVBKE-ROUWMTJPSA-N,C=C(C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](C(C)(C)[C@@H]5CC[C@@]34C)O)[C@@H]12)CO,-2.813182486,25.04,Reaxys
FWSMXVXIXPWASU-KACYJRNJSA-N,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(ccc4[C@H]3CC[C@]12C)OC(=O)c1ccccc1,-1.663336191,20,Reaxys
FXRUPEZGPCYOMZ-NSDJQYKISA-N,C1CCC2C(C1)C1CC2NC2CCCC(NC3CC(C4CCCCC34)NC3CCCC(N1)N3)N2,-2.505874587,24.9,Reaxys
FYMCICGEGWOUKR-VAWYXSNFSA-N,c1cc(cc(c1)N=NC(=O)N)C(=O)N,-1.541361267,15,Reaxys
FYZQVMBINHTUBS-UHFFFAOYSA-N,C1CCC(C(C1)Cl)SC1CCCCC1Cl,-0.730356187,25,Reaxys
FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)Nc1ccccc1,0.225767129,20,Reaxys
GBJFSZCDZHSAOP-PWNYCUMCSA-N,CC(C(C(=O)O)O)(C(=O)O)O,-1.199537073,25,Reaxys
GECHUMIMRBOMGK-UHFFFAOYSA-N,c1ccnc(c1)NS(=O)(=O)c1ccc(cc1)N,-2.020133127,21,Reaxys
GGGVOOMKPJYWDF-UHFFFAOYSA-N,Cc1c(cc(c(C)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-2.791240668,20,Reaxys
GHKISGDRQRSCII-ZOCIIQOWSA-N,CN1Cc2c(ccc3c2OCO3)[C@H]2[C@H](Cc3cc4c(cc3[C@@H]12)OCO4)O,-2.196053303,23,Reaxys
GIAZCNVNDGIJFY-UHFFFAOYSA-N,Cc1ccc2c(c1)nc(Nc1ccccc1)n2/C(=N\c1ccccc1)/Nc1ccccc1,-2.76918539,15,Reaxys
GMKAATQEQAGDMI-BYYHNAKLSA-N,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)/N=N/c1nc2ccc(cc2s1)N(=O)=O,-3.698977699,25,Reaxys
GNWNYBJYSRXKHH-UHFFFAOYSA-N,c1ccc(cc1)CCCOC(=O)NC(=O)N,-2.150930393,16.5,Reaxys
GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OCC(COC(=O)N)O,-1.13076721,24.99,Reaxys
GOIHGMXICPCUBK-UHFFFAOYSA-N,COc1cc(ccc1O)c1cc(c2ccc(cc2)O)[nH]c(=O)c1C#N,-1.894535791,24.99,Reaxys
GONDWPCTSYVHPW-UHFFFAOYSA-N,CCCCCCCCCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,-3.214442783,20,Reaxys
GPWJVXHWELIFNF-UHFFFAOYSA-N,C(CCCCCCC(=O)O)CCCCCC1CCCC1,-1.175426029,20,Reaxys
GRWAIJBHBCCLGS-UHFFFAOYSA-N,C(C(=O)O)n1cnnn1,0.183613807,25.06,Reaxys
GTWYIBUMQLFGEI-UHFFFAOYSA-N,COc1ccccc1NC(C(Cl)(Cl)Cl)Nc1ccccc1OC,-1.176880379,25,Reaxys
GVEPBJHOBDJJJI-UHFFFAOYSA-N,c1ccc2c(c1)c1cccc3cccc2c13,-1.030859923,25,Reaxys
GVPWHKZIJBODOX-UHFFFAOYSA-N,c1ccc(cc1)CSSCc1ccccc1,-1.487020034,26.39,Reaxys
GXRXKUSNUUMIRW-WOVMCDHWSA-N,c1ccc(cc1)[C@@H]1OC[C@@H](CO1)OC(=O)c1ccc(cc1)Br,-1.861185401,26,Reaxys
GYDWWIHJZSCRGV-UHFFFAOYSA-N,CCCCCCCCCCCCCCC1CCC(=O)O1,-1.500602863,25,Reaxys
GZLPBJKBZMALAG-OCOZRVBESA-N,c1ccc(cc1)Nc1ccc(cc1)/N=N/c1ccc(c2ccccc12)N(=O)=O,-2.614399475,25,Reaxys
GZSGTFDLLISMMA-UHFFFAOYSA-N,CC(=O)Nc1ccc(cc1Cl)Cl,-0.790293243,20,Reaxys
HCXVJBMSMIARIN-PHZDYDNGSA-N,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)O)C(C)C,-0.78418759,25,Reaxys
HDCICIWMRHHDMV-UHFFFAOYSA-N,c1ccc(cc1)P(=S)(NN)NN,-1.630430753,25,Reaxys
HEBKCHPVOIAQTA-SCDXWVJYSA-N,C([C@@H]([C@H]([C@@H](CO)O)O)O)O,-1.382822954,25.12,Reaxys
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)Cc1ccc(cc1)C(C)C(=O)O,0.408240294,24.99,Reaxys
HGSSAIQANLKYII-UHFFFAOYSA-N,C=C(C)C1CCC(C)CC1OC(=O)NC(=O)N,-1.960801637,17,Reaxys
HHDJWYOCRHVJHS-UHFFFAOYSA-N,CCC(CC)(Cc1ccc(C)cc1)C(=O)NO,7.38E-06,26,Reaxys
HJHSNTOTXYILIV-UHFFFAOYSA-N,c1ccc(cc1)C1SC(c2ccccc2)SC(c2ccccc2)S1,-3.064857195,25,Reaxys
HJTVQHVGMGKONQ-UHFFFAOYSA-N,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(cc2)O)ccc1O,-0.876166503,20,Reaxys
HKEAFJYKMMKDOR-VPRICQMDSA-N,c1cc(ccc1c1coc2c(ccc(c2[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)O)c1=O)O,-0.637898744,25.05,Reaxys
HNDVDQJCIGZPNO-YFKPBYRVSA-N,C(c1c[nH]cn1)[C@@H](C(=O)O)N,-3.186447201,24.9,Reaxys
HOVVFNPKGWZRTE-UHFFFAOYSA-N,c1ccc2c(c1)c(c1cc(ccc1n2)F)N,-0.782730544,20,Reaxys
HQEMUQNZGCZHHN-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])NC(=S)N,-0.692884357,20,Reaxys
HSAHGRJUNSBXSB-UHFFFAOYSA-N,CCC(C)(C)OC(=O)NC(=O)N,-1.189895628,15.5,Reaxys
HSCDTDKPEWGRNP-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1ccc(cc1)NC(=O)CCC(=O)O,-2.037161485,15,Reaxys
HSHHPGOVDSEFSQ-UHFFFAOYSA-N,C=CCNC(=O)N(c1ccccc1)c1ccccc1,-0.030876929,20,Reaxys
HTTPTALZHKXXDZ-UHFFFAOYSA-N,CCCCCCCCCOC(=O)NC(=O)N,-2.283125892,17,Reaxys
HTXPRECVNAFGMW-UHFFFAOYSA-N,CCCC(CCC)(c1ccccc1)C(=O)NO,7.38E-06,26,Reaxys
HUYYFHGIHVULSU-UHFFFAOYSA-N,c1cc(cc(c1)S(=O)(=O)N)S(=O)(=O)N,-1.29423285,25,Reaxys
HVYWMOMLDIMFJA-XWPGJHTNSA-N,CC(C)CCCC(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)O,-1.242931359,18,Reaxys
HWVAWHHNNDOXDU-PTHRTHQKSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CC(C)C,-2.070758013,20,Reaxys
HWYURWPXXONSIA-UHFFFAOYSA-N,CC(C)CC(C)(C)OC(=O)NC(=O)N,-1.342109292,14,Reaxys
HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,-2.879728133,25,Reaxys
HXHZCOASPJWXPP-UHFFFAOYSA-N,c1cc2c(ccc(c2nc1)C(=O)O)[N+](=O)[O-],-2.356521808,25,Reaxys
HXQJFCWQLPRPRG-UHFFFAOYSA-N,Cc1ccc(cc1)N/C(=N/c1ccc(C)cc1)/n1c2ccc(C)cc2nc1Nc1ccc(C)cc1,-2.986980997,16,Reaxys
HYPKGPVDQYUOSV-UHFFFAOYSA-N,c1ccc(cc1)c1ccc(c(c1)O)[N+](=O)[O-],-1.218915059,25,Reaxys
HYRNQHVQTJQLFS-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)C(c1ccccc1)(c1ccccc1)O,-2.891425943,19,Reaxys
HYXITZLLTYIPOF-UHFFFAOYSA-N,Cc1coc2c3ccc4c(CCCC4(C)C)c3C(=O)C(=O)c12,-2.530177734,20.14,Reaxys
HZKJLTIPRKRDQX-CCEZHUSRSA-N,CCCCCCCCC/C=C/C(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,-2.440378684,20,Reaxys
IACQEQUFUZZDDN-UHFFFAOYSA-N,C(CCCCCNCCCCN)CCCCC(=O)O,-2.532166538,20,Reaxys
IAHOUQOWMXVMEH-UHFFFAOYSA-N,c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],-2.357119443,19.5,Reaxys
IBKMRGAZRIFOIV-UHFFFAOYSA-N,COc1cc(ccc1O)c1cc(c2ccc(cc2)Cl)[nH]c(=O)c1C#N,-1.903076474,24.99,Reaxys
ICYIIEFSHYSYRV-UHFFFAOYSA-N,COC(=O)NC(=O)N,-1.926092442,17,Reaxys
IDHNIUGMDFDUQG-UHFFFAOYSA-N,CCOc1ccc(c(c1)n1nc2ccccc2n1)NC(=O)C,-0.764203979,25,Reaxys
IDIAPTHVYXFGIN-UHFFFAOYSA-N,CC(=C1CC(=O)C(C)C(=O)C1)C,-0.402622421,18,Reaxys
IDYZIJYBMGIQMJ-UHFFFAOYSA-N,CCn1cc(c(=O)c2cc(c(nc12)N1CCNCC1)F)C(=O)O,-2.833490265,25,Reaxys
IEDVJHCEMCRBQM-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(c1OC)OC,-1.933439276,24.79,Reaxys
